Date,Nominal Price,Net Change,Change (%),Bid,Ask,P/E(x),High,Low,Previous Close,Share Volume (000),Turnover (000),Lot Size
2022-10-10,0.093,,,0.088,0.093,,,,0.093,0.0,0.0,
2022-10-07,0.093,,,0.088,0.093,,0.093,0.087,0.093,45.0,4.0,
2022-10-06,0.093,,,0.089,0.094,,,,0.093,0.0,0.0,
2022-10-05,0.093,,,0.089,0.097,,,,0.093,0.0,0.0,
2022-10-03,0.093,,,0.089,0.093,,0.095,0.09,0.095,250.0,23.0,
2022-09-30,0.095,,,0.088,0.095,,0.095,0.091,0.093,35.0,3.0,
2022-09-29,0.093,,,0.09,0.095,,,,0.093,0.0,0.0,
2022-09-28,0.093,,,0.088,0.094,,,,0.093,0.0,0.0,
2022-09-27,0.093,,,0.089,0.094,,,,0.093,0.0,0.0,
2022-09-26,0.093,,,0.091,0.093,,,,0.093,0.0,0.0,
2022-09-23,0.093,,,0.091,0.093,,,,0.094,0.0,0.0,
2022-09-22,0.094,,,0.09,0.095,,,,0.094,0.0,0.0,
2022-09-21,0.094,,,0.089,0.094,,0.095,0.09,0.095,425.0,40.0,
2022-09-20,0.095,,,0.091,0.095,,0.096,0.09,0.096,215.0,20.0,
2022-09-19,0.096,,,0.09,0.096,,0.096,0.096,0.096,1100.0,106.0,
2022-09-16,0.096,,,0.09,0.096,,,,0.096,0.0,0.0,
2022-09-15,0.096,,,0.09,0.096,,,,0.096,0.0,0.0,
2022-09-14,0.096,,,0.094,0.096,,,,0.096,0.0,0.0,
2022-09-13,0.096,,,0.096,0.097,,0.096,0.087,0.097,5370.0,506.0,
2022-09-09,0.097,,,,0.097,,0.099,0.097,0.1,8825.0,866.0,
2022-09-08,0.1,,,0.097,0.1,,0.1,0.098,0.1,5570.0,551.0,
2022-09-07,0.1,,,0.097,0.1,,0.1,0.097,0.1,7635.0,757.0,
2022-09-06,0.1,,,0.097,0.1,,0.1,0.098,0.1,7335.0,726.0,
2022-09-05,0.1,,,0.097,0.1,,0.1,0.097,0.1,3545.0,349.0,
2022-09-02,0.1,,,0.098,0.1,,0.1,0.098,0.1,3455.0,342.0,
2022-09-01,0.1,,,0.097,0.1,,0.1,0.097,0.1,6300.0,623.0,
2022-08-31,0.1,,,0.093,0.1,,,,0.1,0.0,0.0,
2022-08-30,0.1,,,0.095,0.1,,0.1,0.097,0.1,1295.0,127.0,
2022-08-29,0.1,,,0.093,0.1,,0.1,0.097,0.1,620.0,61.0,
2022-08-26,0.1,,,0.097,0.1,,0.1,0.098,0.099,130.0,13.0,
2022-08-25,0.099,,,0.097,0.099,,0.1,0.099,0.098,645.0,64.0,
2022-08-24,0.098,,,0.098,0.1,,0.101,0.098,0.102,1075.0,106.0,
2022-08-23,0.102,,,0.098,0.102,,0.109,0.098,0.108,15900.0,1595.0,
2022-08-22,0.108,,,0.1,0.113,,,,0.108,0.0,0.0,
2022-08-19,0.108,,,0.102,0.108,,0.112,0.101,0.105,100.0,10.0,
2022-08-18,0.105,,,0.099,0.108,,0.108,0.099,0.1,125.0,13.0,
2022-08-17,0.1,,,0.1,0.118,,0.103,0.098,0.1,3580.0,355.0,
